runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
2704.kilian.jornetburgada,Kilian JORNET BURGADA,19:49:30,1,Espagne,ES,,35-39,H
864009.vincent.bouillard,Vincent BOUILLARD,19:54:23,1,France,FR,,20-34,H
485740.jim.walmsley,Jim WALMSLEY,19:37:43,1,Etats-Unis,US,,20-34,H
1250019.baptiste.chassagne,Baptiste CHASSAGNE,20:22:45,2,France,FR,,20-34,H
369191.zach.miller,Zach MILLER,19:58:58,2,Etats-Unis,US,,35-39,H
1064397.mathieu.blanchard,Mathieu BLANCHARD,19:54:50,2,France,FR,,35-39,H
1410311.tom.evans,Tom EVANS,20:34:35,3,Royaume-Uni,GB,,20-34,H
243895.joaquin.lopez,Joaquin LOPEZ,20:26:22,3,Equateur,EC,,20-34,H
481015.germain.grangier,Germain GRANGIER,20:10:52,3,France,FR,,20-34,H
1008473.hannes.namberger,Hannes NAMBERGER,20:31:54,4,Allemagne,DE,,35-39,H
7829.ludovic.pommeret,Ludovic POMMERET,20:57:48,5,France,FR,,45-49,H
584241.benat.marmissolle,Benat MARMISSOLLE,21:28:14,6,France,FR,,40-44,H
154454.thibaut.garrivier,Thibaut GARRIVIER,21:10:38,6,France,FR,,20-34,H
1440463.arthur.joyeuxbouillon,Arthur JOYEUX-BOUILLON,21:12:12,6,France,FR,,20-34,H
514316.tyler.green,Tyler GREEN,21:19:21,7,Etats-Unis,US,,35-39,H
2667843.cody.lind,Cody LIND,21:33:16,7,Etats-Unis,US,,20-34,H
457047.manuel.anguita,Manuel ANGUITA,21:41:01,8,Espagne,ES,,20-34,H
321230.jonas.russi,Jonas RUSSI,21:46:16,8,Suisse,CH,,35-39,H
2481427.gautier.bonnecarrere,Gautier BONNECARRÈRE,21:45:16,9,France,FR,,20-34,H
415485.robert.hajnal,Robert HAJNAL,22:07:58,9,Roumanie,RO,,20-34,H
1312055.yannick.noel,Yannick NOEL,21:45:18,10,France,FR,,35-39,H
5960.andy.symonds,Andy SYMONDS,22:24:28,11,Royaume-Uni,GB,,40-44,H
1682129.josh.wade,Josh WADE,21:52:09,11,Royaume-Uni,GB,,20-34,H
4548888.daniel.jones,Daniel JONES,21:55:59,12,Nouvelle-Zélande,NZ,,20-34,H
84968.thibaut.baronian,Thibaut BARONIAN,22:07:48,12,France,FR,,35-39,H
2181455.thibault.marquet,Thibault MARQUET,22:26:33,12,France,FR,,20-34,H
1028609.alban.berson,Alban BERSON,22:27:39,13,France,FR,,40-44,H
439618.santosgabriel.rueda,Santos Gabriel RUEDA,21:59:01,13,Argentine,AR,,20-34,H
671487.katie.schide,Katie SCHIDE,22:09:31,13,Etats-Unis,US,,20-34,F
1023247.ji.duo,Ji DUO,22:07:10,14,Chine,CN,,20-34,H
574635.jimmy.elam,Jimmy ELAM,22:36:10,14,Etats-Unis,US,,35-39,H
904167.aubin.ferrari,Aubin FERRARI,22:33:07,14,France,FR,,20-34,H
171215.scott.hawker,Scott HAWKER,22:13:58,15,Nouvelle-Zélande,NZ,,35-39,H
1383203.guillaume.deneffe,Guillaume DENEFFE,22:40:05,15,Belgique,BE,,35-39,H
107261.kamil.lesniak,Kamil LESNIAK,22:47:34,15,Pologne,PL,,20-34,H
483224.jeff.mogavero,Jeff MOGAVERO,22:52:00,16,Etats-Unis,US,,20-34,H
1524473.tom.joly,Tom JOLY,22:25:20,16,Royaume-Uni,GB,,20-34,H
362813.ruth.croft,Ruth CROFT,22:48:37,16,Nouvelle-Zélande,NZ,,35-39,F
1261043.rod.farvard,Rod FARVARD,22:32:59,17,Etats-Unis,US,,20-34,H
1190095.jhon.barrera,Jhon BARRERA,22:54:25,17,Colombie,CO,,35-39,H
622497.jonathan.moncany,Jonathan MONCANY,22:58:01,17,France,FR,,20-34,H
643784.marianne.hogan,Marianne HOGAN,23:11:15,18,Canada,CA,,20-34,F
758585.alexandre.boucheix,Alexandre BOUCHEIX,22:55:30,18,France,FR,,20-34,H
669176.rauloctaviu.butaci,Raul Octaviu BUTACI,22:38:02,18,Roumanie,RO,,35-39,H
1390725.juuso.simpanen,Juuso SIMPANEN,23:11:39,19,Finlande,FI,,20-34,H
29769.yanqiao.yun,Yanqiao YUN,22:41:09,19,Chine,CN,,35-39,H
1774285.mark.darbyshire,Mark DARBYSHIRE,23:03:42,19,Royaume-Uni,GB,,40-44,H
804475.guomin.deng,Guomin DENG,23:04:39,20,Chine,CN,,20-34,H
439612.sergiogustavo.pereyra,Sergio Gustavo PEREYRA,23:01:40,20,Argentine,AR,,20-34,H
427004.alexandre.beraud,Alexandre BERAUD,23:11:43,21,France,FR,,20-34,H
317042.alexis.sevennec,Alexis SEVENNEC,23:18:51,21,France,FR,,35-39,H
448424.ugo.ferrari,Ugo FERRARI,23:10:40,22,France,FR,,20-34,H
1513749.marian.priadka,Marian PRIADKA,23:22:52,22,Slovaquie,SK,,35-39,H
234340.canyon.woodward,Canyon WOODWARD,23:26:04,23,Etats-Unis,US,,20-34,H
8931.rene.rovera,Rene ROVERA,23:17:35,23,France,FR,,55-59,H
6598.julien.chorier,Julien CHORIER,23:32:34,24,France,FR,,40-44,H
42923.diego.pazos,Diego PAZOS,23:17:36,24,Suisse,CH,,35-39,H
30959.courtney.dauwalter,Courtney DAUWALTER,23:29:14,25,Etats-Unis,US,,35-39,F
4248936.jack.chamberlain,Jack CHAMBERLAIN,23:40:28,25,Royaume-Uni,GB,,20-34,H
511326.jonathan.schmid,Jonathan SCHMID,23:42:19,26,Suisse,CH,,20-34,H
136586.gediminas.grinius,Gediminas GRINIUS,23:31:32,26,Lituanie,LT,,40-44,H
1146055.canhua.luo,Canhua LUO,23:51:17,27,Chine,CN,,20-34,H
171539.florian.grasel,Florian GRASEL,23:45:26,27,Autriche,AT,,40-44,H
187124.maxime.grenot,Maxime GRENOT,23:42:43,27,France,FR,,20-34,H
41940.bastien.fleury,Bastien FLEURY,23:47:43,28,France,FR,,20-34,H
699956.hajime.mamba,Hajime MAMBA,23:44:34,28,Japon,JP,,20-34,H
1332349.petr.henek,Petr HENEK,23:52:54,28,République tchèque,CZ,,35-39,H
868007.edgar.dias,Edgar DIAS,23:53:30,29,France,FR,,35-39,H
921767.massimo.paladin,Massimo PALADIN,23:45:24,29,Italie,IT,,35-39,H
42924.guillaume.berthier,Guillaume BERTHIER,24:03:33,31,France,FR,,35-39,H
1038803.katharina.hartmuth,Katharina HARTMUTH,24:10:52,31,Allemagne,DE,,20-34,F
3096053.matis.leray,Matis LERAY,24:12:00,32,France,FR,,20-34,H
