runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
28282.xavier.thevenard,Xavier THEVENARD,20:44:16,1.0,France,FR,,20-34,H
415485.robert.hajnal,Robert HAJNAL,21:31:37,2.0,Roumanie,RO,,20-34,H
257533.jordi.gamitobaus,Jordi GAMITO BAUS,21:57:01,3.0,Espagne,ES,,35-39,H
676095.hallvard.schjolberg,Hallvard SCHJOLBERG,22:06:59,4.0,Norvège,NO,,40-44,H
384634.damian.hall,Damian HALL,22:35:13,5.0,Royaume-Uni,GB,,40-44,H
394036.roman.evarts,Roman EVARTS,22:38:29,6.0,Lettonie,LV,,35-39,H
20959.stefano.ruzza,Stefano RUZZA,23:02:19,7.0,Italie,IT,,35-39,H
1.erik.clavery,Erik CLAVERY,23:07:53,8.0,France,FR,,35-39,H
171539.florian.grasel,Florian GRASEL,23:12:03,9.0,Autriche,AT,,35-39,H
124448.javier.dominguezledo,Javier DOMINGUEZ LEDO,23:27:08,10.0,Espagne,ES,,40-44,H
814233.petter.restorp,Petter RESTORP,23:34:35,11.0,Suède,SE,,40-44,H
575420.christopher.hammes,Christopher HAMMES,23:47:39,12.0,Etats-Unis,US,,20-34,H
1064397.mathieu.blanchard,Mathieu BLANCHARD,23:53:02,13.0,France,FR,,20-34,H
42643.sacha.devillaz,Sacha DEVILLAZ,23:59:55,14.0,France,FR,,20-34,H
1655487.jim.mann,Jim MANN,24:07:27,15.0,Royaume-Uni,GB,,40-44,H
371181.emir.grairi,Emir GRAIRI,24:16:21,16.0,Tunisie,TN,,35-39,H
246588.gregoire.curmer,Gregoire CURMER,24:26:59,17.0,France,FR,,20-34,H
1527557.matthieu.bosquet,Matthieu BOSQUET,24:27:00,18.0,France,FR,,35-39,H
672897.roberto.mastrotto,Roberto MASTROTTO,24:28:23,19.0,Italie,IT,,20-34,H
9.bertrand.collombpatton,Bertrand COLLOMB PATTON,24:33:26,20.0,France,FR,,40-44,H
438818.francisco.freitas,Francisco FREITAS,24:40:38,21.0,Portugal,PT,,40-44,H
51174.paul.giblin,Paul GIBLIN,24:47:49,22.0,Royaume-Uni,GB,,40-44,H
764229.kuo.li,Kuo LI,25:03:37,23.0,Chine,CN,,20-34,H
2533.sebastien.henri,Sebastien HENRI,25:08:08,24.0,France,FR,,35-39,H
29991.jean.burnet,Jean BURNET,25:19:01,25.0,France,FR,,35-39,H
825425.vincent.dujardin,Vincent DUJARDIN,25:32:11,26.0,France,FR,,35-39,H
197831.krystian.ogly,Krystian OGLY,25:34:32,27.0,Pologne,PL,,40-44,H
2709.tim.olson,Tim OLSON,25:40:09,28.0,Etats-Unis,US,,35-39,H
448424.ugo.ferrari,Ugo FERRARI,25:40:11,29.0,France,FR,,20-34,H
144484.patrick.willcock,Patrick WILLCOCK,25:44:57,30.0,Afrique du Sud,ZA,,40-44,H
730067.hugo.goncalves,Hugo GONCALVES,25:56:12,31.0,Portugal,PT,,20-34,H
