runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
2707.jez.bragg,Jez BRAGG,10:30:37,1,Royaume-Uni,GB,,20-34,H
2705.mike.wolfe,Mike WOLFE,10:37:38,2,Etats-Unis,US,,20-34,H
12821.zigor.iturrieta,Zigor ITURRIETA,10:49:18,3,Espagne,ES,,35-39,H
6598.julien.chorier,Julien CHORIER,10:53:45,4,France,FR,,20-34,H
11456.jerome.challier,Jerome CHALLIER,10:56:41,5,France,FR,,40-44,H
6953.antoine.guillon,Antoine GUILLON,10:56:41,5,France,FR,,40-44,H
4.thomas.saintgirons,Thomas SAINT GIRONS,10:56:41,5,France,FR,,35-39,H
2474.patrick.bohard,Patrick BOHARD,10:56:41,5,France,FR,,45-49,H
6954.cyril.cointre,Cyril COINTRE,10:56:41,5,France,FR,,20-34,H
8127.pascal.blanc,Pascal BLANC,11:08:56,10,France,FR,,45-49,H
20151.dawadachhiri.sherpa,Dawa-Dachhiri SHERPA,11:14:19,11,Népal,NP,,40-44,H
36428.kenichi.yamamoto,Kenichi YAMAMOTO,11:14:19,12,Japon,JP,,20-34,H
20392.bernhard.hug,Bernhard HUG,11:19:24,13,Suisse,CH,,35-39,H
24239.bastien.bravais,Bastien BRAVAIS,11:27:37,14,France,FR,,20-34,H
8288.vincent.delebarre,Vincent DELEBARRE,11:29:03,15,France,FR,,40-44,H
60001.arnau.juliabonmati,Arnau JULIA-BONMATI,11:35:17,16,Espagne,ES,,35-39,H
21348.karl.meltzer,Karl MELTZER,11:40:28,17,Etats-Unis,US,,40-44,H
9842.samuel.bonaudo,Samuel BONAUDO,11:45:37,18,France,FR,,35-39,H
12828.elizabeth.hawker,Elizabeth HAWKER,11:47:30,19,Royaume-Uni,GB,,20-34,F
10529.bruno.bottollier,Bruno BOTTOLLIER,11:53:04,20,France,FR,,40-44,H
29869.siukeung.tsang,Siu Keung TSANG,11:55:11,21,"Hong Kong, Chine",HK,,20-34,H
27888.bruno.durand,Bruno DURAND,11:55:11,22,France,FR,,40-44,H
76183.gaizka.itzabengoetxea,Gaizka ITZA-BENGOETXEA,12:06:30,23,Espagne,ES,,80+,H
73399.olepetter.hjelle,Ole_Petter HJELLE,12:10:01,24,Norvège,NO,,40-44,H
8776.sebastien.farano,Sebastien FARANO,12:14:56,25,France,FR,,35-39,H
24417.remy.marcel,Remy MARCEL,12:17:59,26,France,FR,,20-34,H
7835.francois.lachaux,Francois LACHAUX,12:19:52,27,France,FR,,35-39,H
20156.juleshenri.gabioud,Jules-Henri GABIOUD,12:21:47,28,Suisse,CH,,20-34,H
7849.julien.germain,Julien GERMAIN,12:24:17,29,France,FR,,35-39,H
75927.eneko.aurrekoetxeauriarte,Eneko AURREKOETXEA-URIARTE,12:25:01,30,Espagne,ES,,20-34,H
24907.jeremy.kieffel,Jeremy KIEFFEL,12:27:02,31,France,FR,,20-34,H
42642.christophe.meier,Christophe MEIER,12:31:37,32,Suisse,CH,,35-39,H
13096.pablo.criadotoca,Pablo CRIADO TOCA,12:34:22,33,Espagne,ES,,20-34,H
8298.frederic.desplanches,Frederic DESPLANCHES,12:41:07,34,France,FR,,35-39,H
36440.chiharu.watanabe,Chiharu WATANABE,12:41:07,35,Japon,JP,,40-44,H
73851.francois.scalco,Francois SCALCO,12:48:20,36,France,FR,,40-44,H
12831.nerea.martinezurruzola,Nerea MARTINEZ-URRUZOLA,12:49:27,37,Espagne,ES,,35-39,F
6955.renaud.rouanet,Renaud ROUANET,12:52:08,38,France,FR,,20-34,H
51170.richard.cunningham,Richard CUNNINGHAM,12:53:35,39,Royaume-Uni,GB,,40-44,H
156038.armando.teixeira,Armando TEIXEIRA,12:58:53,40,Portugal,PT,,35-39,H
5982.eric.bruel,Eric BRUEL,13:01:24,41,France,FR,,40-44,H
48380.frederic.dumoulin,Frederic DUMOULIN,13:01:55,42,Suisse,CH,,20-34,H
58963.thomas.bohne,Thomas BOHNE,13:02:13,43,Allemagne,DE,,20-34,H
27381.stephane.floury,Stephane FLOURY,13:03:08,44,France,FR,,35-39,H
72315.runar.gilberg,Runar GILBERG,13:06:45,45,Norvège,NO,,45-49,H
21280.gustavo.sangiorgi,Gustavo SANGIORGI,13:08:51,46,Italie,IT,,45-49,H
6292.philippe.claret,Philippe CLARET,13:09:10,47,France,FR,,45-49,H
6319.patrice.gibaud,Patrice GIBAUD,13:18:28,48,France,FR,,45-49,H
23437.erich.peitzsch,Erich PEITZSCH,13:26:13,49,Etats-Unis,US,,20-34,H
11792.joseignacio.delgadoperdomo,Jose-Ignacio DELGADO-PERDOMO,13:29:33,50,Espagne,ES,,35-39,H
