runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
2704.kilian.jornetburgada,Kilian JORNET BURGADA,19:49:30,1.0,Espagne,ES,,35-39,H
1064397.mathieu.blanchard,Mathieu BLANCHARD,19:54:50,2.0,France,FR,,35-39,H
1410311.tom.evans,Tom EVANS,20:34:35,3.0,Royaume-Uni,GB,,20-34,H
485740.jim.walmsley,Jim WALMSLEY,21:12:12,4.0,Etats-Unis,US,,20-34,H
369191.zach.miller,Zach MILLER,21:27:50,5.0,Etats-Unis,US,,20-34,H
584241.benat.marmissolle,Benat MARMISSOLLE,21:28:14,6.0,France,FR,,40-44,H
1440463.arthur.joyeuxbouillon,Arthur JOYEUX-BOUILLON,21:35:45,7.0,France,FR,,20-34,H
321230.jonas.russi,Jonas RUSSI,21:46:16,8.0,Suisse,CH,,35-39,H
415485.robert.hajnal,Robert HAJNAL,22:07:58,9.0,Roumanie,RO,,20-34,H
154454.thibaut.garrivier,Thibaut GARRIVIER,22:09:19,10.0,France,FR,,20-34,H
5960.andy.symonds,Andy SYMONDS,22:24:28,11.0,Royaume-Uni,GB,,40-44,H
2181455.thibault.marquet,Thibault MARQUET,22:26:33,12.0,France,FR,,20-34,H
1028609.alban.berson,Alban BERSON,22:27:39,13.0,France,FR,,40-44,H
574635.jimmy.elam,Jimmy ELAM,22:36:10,14.0,Etats-Unis,US,,35-39,H
1383203.guillaume.deneffe,Guillaume DENEFFE,22:40:05,15.0,Belgique,BE,,35-39,H
483224.jeff.mogavero,Jeff MOGAVERO,22:52:00,16.0,Etats-Unis,US,,20-34,H
1190095.jhon.barrera,Jhon BARRERA,22:54:25,17.0,Colombie,CO,,35-39,H
758585.alexandre.boucheix,Alexandre BOUCHEIX,22:55:30,18.0,France,FR,,20-34,H
1774285.mark.darbyshire,Mark DARBYSHIRE,23:03:42,19.0,Royaume-Uni,GB,,40-44,H
804475.guomin.deng,Guomin DENG,23:04:39,20.0,Chine,CN,,20-34,H
427004.alexandre.beraud,Alexandre BERAUD,23:11:43,21.0,France,FR,,20-34,H
671487.katie.schide,Katie SCHIDE,23:15:12,22.0,Etats-Unis,US,,20-34,F
1261043.rod.farvard,Rod FARVARD,23:28:34,23.0,Etats-Unis,US,,20-34,H
6598.julien.chorier,Julien CHORIER,23:32:34,24.0,France,FR,,40-44,H
107261.kamil.lesniak,Kamil LESNIAK,23:35:26,25.0,Pologne,PL,,20-34,H
448424.ugo.ferrari,Ugo FERRARI,23:38:11,26.0,France,FR,,20-34,H
187124.maxime.grenot,Maxime GRENOT,23:42:43,27.0,France,FR,,20-34,H
699956.hajime.mamba,Hajime MAMBA,23:44:34,28.0,Japon,JP,,20-34,H
921767.massimo.paladin,Massimo PALADIN,23:45:24,29.0,Italie,IT,,35-39,H
439618.santosgabriel.rueda,Santos Gabriel RUEDA,23:55:03,30.0,Argentine,AR,,20-34,H
1390725.juuso.simpanen,Juuso SIMPANEN,23:58:21,31.0,Finlande,FI,,20-34,H
1513749.marian.priadka,Marian PRIADKA,24:04:06,32.0,Slovaquie,SK,,35-39,H
264825.hochung.wong,Ho Chung WONG,24:04:27,33.0,"Hong Kong, Chine",HK,,35-39,H
36506.hirokazu.nishimura,Hirokazu NISHIMURA,24:05:24,34.0,Japon,JP,,40-44,H
672897.roberto.mastrotto,Roberto MASTROTTO,24:13:03,35.0,Italie,IT,,35-39,H
11041.sylvain.court,Sylvain COURT,24:15:12,36.0,France,FR,,35-39,H
185010.david.laney,David LANEY,24:16:34,37.0,Etats-Unis,US,,20-34,H
20967.gianluca.galeati,Gianluca GALEATI,24:21:03,38.0,Italie,IT,,35-39,H
622497.jonathan.moncany,Jonathan MONCANY,24:28:52,39.0,France,FR,,20-34,H
643784.marianne.hogan,Marianne HOGAN,24:31:22,40.0,Canada,CA,,20-34,F
552772.tony.moulai,Tony MOULAI,24:39:33,41.0,France,FR,,45-49,H
320640.walter.manser,Walter MANSER,24:39:48,42.0,Suisse,CH,,45-49,H
393244.daniel.colommasip,Daniel COLOM-MASIP,24:40:59,43.0,Espagne,ES,,40-44,H
7.arnaud.lejeune,Arnaud LEJEUNE,24:49:26,44.0,France,FR,,40-44,H
1279251.samir.tazi,Samir TAZI,24:51:23,45.0,France,FR,,35-39,H
487395.moises.jimenez,Moises JIMENEZ,24:57:10,46.0,Venezuela,VE,,20-34,H
671568.kaytlyn.gerbin,Kaytlyn GERBIN,25:07:44,47.0,Etats-Unis,US,,20-34,F
234340.canyon.woodward,Canyon WOODWARD,25:08:01,48.0,Etats-Unis,US,,20-34,H
588263.alberto.ferretto,Alberto FERRETTO,25:10:05,49.0,Italie,IT,,20-34,H
54565.seth.swanson,Seth SWANSON,25:11:27,50.0,Etats-Unis,US,,40-44,H
939661.jisu.kim,Jisu KIM,25:17:51,51.0,Corée du Sud,KR,,45-49,H
514316.tyler.green,Tyler GREEN,25:22:12,52.0,Etats-Unis,US,,35-39,H
2978157.takumi.sawayanagi,Takumi SAWAYANAGI,25:27:07,53.0,Japon,JP,,35-39,H
4064.jason.schlarb,Jason SCHLARB,25:30:59,54.0,Etats-Unis,US,,40-44,H
1750835.jantaraboon.kiangchaipaiphana,Jantaraboon KIANGCHAIPAIPHANA,25:50:58,55.0,Thaïlande,TH,,35-39,H
2533.sebastien.henri,Sebastien HENRI,26:00:00,56.0,France,FR,,40-44,H
2190.john.tidd,John TIDD,26:06:39,57.0,Espagne,ES,,55-59,H
992029.arnaud.henin,Arnaud HENIN,26:08:42,58.0,France,FR,,35-39,H
27929.remi.berchet,Remi BERCHET,26:13:16,59.0,France,FR,,35-39,H
437071.jocelyne.pauly,Jocelyne PAULY,26:13:58,60.0,France,FR,,45-49,F
1574529.tomasz.kik,Tomasz KIK,26:32:06,61.0,Slovaquie,SK,,40-44,H
1244521.eszter.csillag,Eszter CSILLAG,26:32:39,62.0,Hongrie,HU,,35-39,F
992033.julien.morville,Julien MORVILLE,26:33:18,63.0,France,FR,,35-39,H
746900.ryota.nakatani,Ryota NAKATANI,26:33:36,64.0,Japon,JP,,20-34,H
422893.marin.mandekic,Marin MANDEKIC,26:33:58,65.0,Croatie,HR,,45-49,H
1523031.josemaria.garridoreyes,Jose Maria GARRIDO REYES,26:37:08,66.0,Espagne,ES,,35-39,H
1878369.emily.hawgood,Emily HAWGOOD,26:37:08,66.0,Zimbabwe,ZW,,20-34,F
228351.moises.vidal,Moises VIDAL,26:38:30,68.0,Espagne,ES,,45-49,H
2549.vincent.chabanne,Vincent CHABANNE,26:41:37,69.0,France,FR,,40-44,H
725732.stephane.eychenne,Stephane EYCHENNE,26:48:13,70.0,France,FR,,40-44,H
676095.hallvard.schjolberg,Hallvard SCHJOLBERG,26:48:58,71.0,Norvège,NO,,45-49,H
196126.arnaud.delepine,Arnaud DELEPINE,26:52:03,72.0,France,FR,,40-44,H
11104.antoine.bouchet,Antoine BOUCHET,27:07:16,73.0,France,FR,,40-44,H
724078.manuel.corbitomas,Manuel CORBI TOMAS,27:14:10,74.0,Espagne,ES,,40-44,H
989977.fuzhao.xiang,Fuzhao XIANG,27:14:21,75.0,Chine,CN,,20-34,F
1245503.michael.skobierski,Michael SKOBIERSKI,27:16:57,76.0,Autriche,AT,,35-39,H
997821.aroa.sio,Aroa SIO,27:17:49,77.0,Espagne,ES,,40-44,F
94.mael.prigent,Mael PRIGENT,27:22:55,78.0,France,FR,,45-49,H
194179.marcin.swierc,Marcin SWIERC,27:25:04,79.0,Pologne,PL,,35-39,H
1868925.johnray.onifa,John Ray ONIFA,27:28:27,80.0,Philippines,PH,,20-34,H
8934.sylvain.camus,Sylvain CAMUS,27:29:39,81.0,France,FR,,40-44,H
345172.francesca.pretto,Francesca PRETTO,27:31:46,82.0,Italie,IT,,45-49,F
750981.darryn.patterson,Darryn PATTERSON,27:32:14,83.0,Afrique du Sud,ZA,,35-39,H
3769067.austin.chirico,Austin CHIRICO,27:36:34,84.0,Etats-Unis,US,,20-34,H
394043.peteris.grivins,Peteris GRIVINS,27:38:36,85.0,Lettonie,LV,,35-39,H
629882.florimond.cahez,Florimond CAHEZ,27:38:48,86.0,France,FR,,35-39,H
2405705.edoardo.curreri,Edoardo CURRERI,27:40:37,87.0,Italie,IT,,20-34,H
242740.jeanbaptiste.ewald,Jean-Baptiste EWALD,27:43:46,88.0,France,FR,,40-44,H
1966633.hugo.hayacalderon,Hugo HAYA CALDERON,27:44:58,89.0,Espagne,ES,,20-34,H
1502315.lewis.ryan,Lewis RYAN,27:50:08,90.0,Royaume-Uni,GB,,20-34,H
1252033.mathieu.renauld,Mathieu RENAULD,27:51:57,91.0,France,FR,,35-39,H
312181.raul.fernandezquintanilla,Raul FERNANDEZ-QUINTANILLA,28:01:06,92.0,Espagne,ES,,40-44,H
1179595.sylvain.mendez,Sylvain MENDEZ,28:01:32,93.0,France,FR,,20-34,H
60004.alexander.rabensteiner,Alexander RABENSTEINER,28:02:14,94.0,Italie,IT,,45-49,H
5969.quentin.stephan,Quentin STEPHAN,28:13:23,95.0,France,FR,,20-34,H
835450.xabi.espil,Xabi ESPIL,28:14:09,96.0,France,FR,,35-39,H
708080.evamaria.sperger,Eva Maria SPERGER,28:15:29,97.0,Allemagne,DE,,40-44,F
141065.nicolas.bie,Nicolas BIE,28:16:31,98.0,France,FR,,45-49,H
1365935.paulina.krawczak,Paulina KRAWCZAK,28:21:22,99.0,Pologne,PL,,35-39,F
2188733.baptiste.eveillard,Baptiste EVEILLARD,28:21:38,100.0,France,FR,,20-34,H
1710257.lonan.ofarrell,Lonan O FARRELL,28:28:17,101.0,Irlande,IE,,40-44,H
1070439.daan.nieuwenhuis,Daan NIEUWENHUIS,28:29:16,102.0,Pays-Bas,NL,,20-34,H
